bedrooms,bathrooms,floors,price
4,2.25,1,500000
4,2.5,2,921500
4,1,2,890000
2,2.5,2,430000
5,2,1,258000
3,1,1,511000
3,2,2,532170
3,1,1.5,560000
3,1,1,282950
4,3.25,2,2.25E+06
1,1,1,350000
3,1,1,215000
5,3.5,2,650000
4,2.75,1,320000
3,2,1.5,247000
4,1.75,1,320000
5,2.25,1,255000
3,1.75,1,438000
3,2.5,2,900000
3,2.75,1,441000
3,2,1,420000
3,1.75,1,370000
2,1.75,1,269950
4,2.5,2,807100
3,2.5,1,653000
3,2,1,371500
3,1.75,1,284000
3,1.75,1,272000
3,1.5,1.5,313000
4,2.5,2,917500
4,2.25,2,673000
3,2.5,2,425000
5,2.75,1,399950
3,1,1,385000
3,1.5,1,269950
2,1,1,330000
3,2.5,2,260000
4,3,1.5,470000
4,3,2,589000
2,1.5,2,163500
4,2.75,2,835000
5,3,1,1.10E+06
4,1.75,1,269000
3,2.5,2,560000
4,1,1.5,615000
3,2.25,1,585188
3,1.75,1,305000
3,1,1,166950
3,2.5,1,799000
3,2.5,1,400000
3,1,1,230000
3,2.5,2,256883
4,2,1.5,423000
3,2.5,2,465000
3,2.5,2,440000
3,1.75,1,385000
3,1,1,210000
3,2.5,2,297000
3,1,1,470000
3,1.5,1,226500
3,1,1,274250
4,1.75,1,840000
3,2.5,2,677900
3,1,1,425000
2,0.75,1,180250
6,3,2,464000
4,2.25,2,320000
3,2.25,2,625504
4,2.5,1,592500
3,2.5,2,465000
4,2.75,2,477000
2,1,1,280000
5,3,1,1.51E+06
3,2.5,2,445838
2,2.25,1,1.07E+06
2,1.5,1,467000
4,2.5,2,686000
3,2,1,279950
4,2.25,2,527000
3,2.25,1,325000
3,2.25,2,328000
3,2.25,1,390000
2,2,1,479950
4,2.25,1,264950
3,1,1,235000
3,2.5,2,516500
2,1.75,2,655000
4,2.75,1,500000
6,2.75,1,315000
2,1,1,213000
3,1.5,1.5,475000
5,4,2,1.03E+06
3,2,1,416000
4,1,1.5,410000
3,3.5,2,800000
6,2.5,1,472000
3,1.75,1,225000
2,1,1,210000
2,1,1.5,455000
3,1,1,225000
2,1,1,480000
3,2.5,2,363000
4,2.5,1,2.40E+06
2,1.5,1,181000
4,2,1,250000
3,1.75,1,481000
3,2,1,260000
4,2.5,2,455000
3,2.25,2,415000
3,1,1,349500
3,2.5,2,245000
2,2,1.5,592500
4,1.75,1,385000
3,1.75,1,315000
3,1,1,255000
4,2.5,2,693000
3,1,1.5,780000
3,1.75,1,237000
3,2.25,2,525000
2,1,1,425000
1,0.75,1,369900
4,2.5,2,290000
3,1,1,285000
2,1,1,415000
3,2.5,1,272500
4,3.25,1.5,2.90E+06
4,4.75,2,1.37E+06
2,1,1,436000
3,1,1,210000
3,1,1,236000
3,1.75,1,331000
3,2.5,2,365000
3,2,1,450000
4,2.75,2,770000
4,2.5,1,455000
3,1.75,1,405000
4,1.75,1,304900
2,1,1,170000
5,3,2,2.05E+06
4,2.5,2,780000
3,3,1,330000
4,2.5,2,370000
5,2.25,1,467000
3,1.75,1,405000
5,2.25,1,675000
2,1,1,500000
4,2.5,2,389999
4,1.75,1,630000
4,2.5,2,360000
4,3,2,580000
3,2,2,550000
4,2.5,2,879000
3,2,1,265000
3,2.5,2,446500
3,1.5,1,404000
3,1.75,1,267500
4,5,1,3.08E+06
3,2.5,2,335000
3,2.5,1,576000
3,2.5,2,208633
3,2.25,1,315000
3,1.75,1,725000
4,2.75,1,550000
4,2.25,2,610750
2,1,1.5,550700
4,2.75,2,665000
4,2.5,1.5,834000
5,1.75,1.5,201000
5,2.5,2,2.38E+06
4,3.25,1,1.38E+06
4,3.25,1,1.40E+06
4,2.25,1,305000
3,2,1,487000
3,2.5,1,390000
2,1,1,548000
4,1,1,268750
5,2.75,2,819900
3,2.25,2,520000
3,2,1,230000
3,1.75,1,240000
2,1,1,232000
2,1,1,240500
3,2.5,2,274975
4,2,1.5,740000
3,1,1,186375
3,2.25,1,790000
4,3.5,2,880000
6,1.75,2,279000
3,2,1,295000
2,1,1,640000
4,2,2,940000
4,2.5,2,260000
3,2.75,1,559900
4,2,1.5,791500
3,1.75,1,265000
3,1.75,1,245000
4,1.75,2,485000
4,3.5,2,684000
3,1.75,1,425000
4,1.75,1,309600
4,2.5,2,552250
4,1,1,165000
4,1,1,239900
2,1,1,320000
3,2,1,206600
4,1.75,1,387000
1,0.75,1,299000
4,2.75,2,855000
3,1,1,315000
2,1,1,437500
4,1.5,1,252000
4,1.75,1,375000
4,2.5,2,300000
4,1,1.5,420000
3,1,1,900000
3,2.5,2,679900
3,2.5,2,463000
5,2.5,2,380000
4,2.5,2,329500
3,2.5,1,604950
5,2.5,1,795000
3,2,2,465000
4,2.5,2,673000
4,2.5,2,810000
4,2.75,1,785000
4,3,1,338000
3,2.25,2,280000
4,2.25,1,315000
4,2.25,1,530000
5,3,2,380000
3,2.25,2,297000
4,2.5,2,730000
3,1.75,1,450000
3,3,1,275000
4,2,2,595000
3,1.5,1.5,435000
2,1.5,1,270000
3,3,2,950000
4,2.25,2,389000
4,2.25,1,560000
5,3.5,2,1.35E+06
4,2.25,2,799000
3,2,1,365500
3,2,1,252350
4,2.5,2,403950
4,1.5,1,385000
4,1,1.5,345000
3,2.75,2,490000
3,2.5,2,330000
4,2.75,2,927000
4,2.5,2,1.12E+06
2,1,1,330000
5,2.25,1,530000
4,2,1,365000
3,2.5,1.5,378750
4,1.75,1.5,269900
3,3.5,2,557000
4,1.75,1,360000
2,1,1,352000
3,2.5,2,437000
4,2.5,2,322500
3,3.25,2,650000
3,2,3,450000
3,2,1,278500
4,2.5,2,364950
4,3.5,1,840000
3,2.5,2,268000
2,1,1,517534
3,2.5,2,632925
3,2.5,2,577500
4,1.5,1.5,339000
3,1.75,1,570000
4,1.75,1,563500
4,2.25,1,423000
3,2.25,2,355000
5,4.25,2,1.55E+06
2,1,1,482000
3,1.75,1,625000
3,2.5,2,538000
3,2.5,2,380000
2,1,1,375000
3,2.5,1,245000
5,1.75,1,310000
3,2,1,1.30E+06
4,2,1,397000
3,2.5,2,365000
4,3,2,328500
4,3,2,988000
4,2.5,1.5,1.00E+06
3,2.5,2,237000
4,2.5,2,525000
4,2.5,1,749000
5,2.5,2,722500
3,2.5,2,843000
2,2,3,438000
3,1.75,1,578000
3,1.5,1,227950
3,2.25,2,196000
2,1,1,641000
3,1.5,1,350000
3,1,1,205000
3,1.75,1,400000
3,2.5,1,1.03E+06
3,2,1,505000
5,2.5,1,475000
3,2.25,1,520000
3,4.5,2,1.45E+06
3,1.75,1,333500
3,1,1,232000
3,2.75,1,691100
3,1.75,1,811000
3,2.5,2,551000
3,2.5,2,496500
3,3,2,705000
4,2.5,1,578000
3,1.75,1,255000
4,3.5,2,1.05E+06
3,2.25,2,348000
3,2,2,230000
4,2.25,2,359500
3,1,1,330000
1,0.75,1,80000
3,1.75,1,465000
4,2.5,2,325000
3,2,1,340500
3,2.5,2,342500
2,2,2,290900
3,4.25,2,868700
4,2.75,2,1.20E+06
4,3.25,2,1.15E+06
4,2.75,2,859900
4,2.25,2,520000
3,2.5,2,460000
3,1.5,1,438924
2,1,1,315000
4,2.75,1,590000
4,1.75,1,378500
3,2.5,2,328500
3,3,2,849950
3,1.5,1,525000
4,3.25,2.5,1.39E+06
4,2.5,1,295000
6,3.5,2,1.07E+06
2,2,1,207950
4,2.75,2,699900
5,2.5,2,1.28E+06
4,1.5,1,452000
3,2,1,370000
3,1.75,1,232000
5,2.5,2,669950
3,2,1,397500
2,2.5,2,490000
4,2,2,725000
3,2.75,1,299000
2,1.5,1.5,625000
3,2.5,2,437500
4,2.5,2,650000
2,1,1,475000
3,2,1,342000
4,2.5,2,1.20E+06
3,1.5,1,280000
2,1.75,1,240000
3,1,1.5,529000
3,1,1,442000
2,1,1,615000
4,3.75,2,1.49E+06
4,1.75,1,585000
4,2.5,2,480000
5,3.5,2,1.10E+06
4,1,1.5,290000
3,1.75,1,615000
2,1,1,300000
3,1,1.5,308000
3,2.5,2,750000
4,2.25,2.5,2.25E+06
4,3.25,2,890000
3,1,1,288000
2,1,1,190000
5,3,1,515000
4,1.5,1,235000
2,1,1,275000
2,2,1,727500
4,2.5,2,650000
6,5,2,1.60E+06
4,1,1.5,365000
3,1.75,1,662000
3,2.5,1,270500
2,1.5,2,200000
4,3.25,2,970000
3,1.5,1,160000
3,1,1,204000
3,2.25,2,358000
4,1.75,1,452000
2,2,1,595000
3,2,1,249000
4,2.5,2,346900
3,2.5,2,2.13E+06
4,2.5,2,280000
4,1.75,1,318888
3,2.25,1,530000
3,2.25,2,375000
4,2.5,2,910000
4,2.5,2,782000
2,2,2,259950
4,2.75,1,315000
2,1,1,215000
3,1.75,1,705000
3,3,2,1.45E+06
3,1.75,2,451000
2,1,1,261000
3,1.5,1,396000
4,2.5,2,725000
7,3.5,2,1.95E+06
4,1,1.5,238000
6,1.75,2,750000
4,2.5,2,331500
4,3,1,460000
4,2.25,1,404950
3,2.5,2,880000
4,2.5,2,863000
3,1.75,1,638700
3,2.5,2,435000
3,1,1.5,260000
5,2.75,1.5,671500
3,1,1.5,610000
2,0.75,1,405000
4,2.5,2,338900
4,4,2,720000
5,3,1.5,442000
5,2.75,1.5,650000
3,1.75,1,263500
2,1,1,300000
3,2.5,2,266000
4,4,2.5,930000
4,2.5,2,530000
3,1,1,180000
3,2.5,2,619000
3,1.5,1,264000
2,2.25,1.5,730000
4,2.25,2,439000
4,1.75,1,268500
3,1.75,1,330000
3,2.5,1.5,640000
3,2.5,2,900000
3,2.25,2,370000
3,2,1.5,685000
3,1.5,1,505000
3,1.75,1,265000
3,2.5,2,290000
4,2.5,2,296000
4,2.5,2,360000
3,1.75,1,240500
2,2.5,2,372500
3,2.5,2,595000
4,3,2,515000
4,2.25,2,1.22E+06
2,1.75,1,507000
4,2,1,399950
3,1.75,2,185000
3,1.75,1,460000
3,2.25,2,435500
4,2.75,1,469000
2,3,2,531000
2,1,1,443500
3,2,1,223000
4,3.5,2,590000
2,2.5,3,340000
3,2,1,650000
3,2.5,2,533600
3,2.75,2,695000
3,1.75,1.5,242000
3,2.25,1,425000
3,2.25,2,525000
3,2.5,2,485000
3,1,1,175000
3,2,1,210000
3,2.5,2,260000
3,2.5,1,577000
3,1.5,1,200000
2,1.75,1,605000
3,1,1,325000
3,1,1,289500
3,2.5,3,559950
3,1.75,1,1.04E+06
3,2.25,1,543500
4,2.25,2,480000
3,1,1,218000
2,1.75,1,565000
3,1.75,1,426700
3,2.5,1,650000
2,1,1,542000
3,1.75,1,415000
3,1,1,214000
3,1.5,2,245000
3,2,1,314500
3,1.5,2,1.12E+06
2,2,1,378000
4,2.5,1,305000
5,2.75,1,595000
3,2.5,3,729500
3,2.5,2,430000
3,1.75,1,240000
3,1.75,1.5,545000
3,1.75,1,530000
1,1,1,157000
4,1,1.5,425000
3,1,1,220000
4,1.75,1,521000
3,1,1,325000
3,2,1.5,597500
3,2.5,2,337000
3,2.5,2,1.00E+06
3,2.5,1,3.07E+06
3,1,1,495000
4,3.5,2,748000
3,1.5,1,888000
3,1.75,1,269900
4,2.5,1,496500
3,2.5,2,475000
3,1.5,3,312000
3,1,1,323000
3,1.75,1,331000
3,1.5,3,306000
4,2.5,3,655000
3,1.5,1,290000
4,3.25,2,1.25E+06
3,1.75,1,460000
4,2.5,1,435000
4,2.75,1,664000
4,1.75,2,865000
3,1.75,1,385000
3,2.25,1,497000
2,1,1,280000
2,1.5,1,188000
3,1,1,478500
4,3.5,2,1.15E+06
3,2,1,222000
4,3,2,799000
4,2.5,2,609900
4,3.5,2,413000
4,1,1.5,400000
5,2.75,2,802541
3,2.5,2,320000
4,2.5,2,507000
3,1,1,387500
3,1,1,396000
3,1.75,1,373000
5,2.5,2,1.48E+06
4,2.25,2,359900
2,1,1,410000
4,2.5,2,690000
3,2,1,245000
5,2.5,1,700000
4,1.75,1,268000
3,1.75,1,225000
4,2.25,2,980000
2,1,1.5,795000
2,1,1,195000
4,2,1,480000
4,2,1,485000
2,1,1,130000
2,1,1,325000
3,1.75,1,440000
4,1.75,1,550000
3,1.75,1,310000
3,2.5,2,530000
4,2.5,2,390000
3,1.75,1,243000
4,2.5,2,639000
4,1,1,215000
5,1.75,1,405000
4,1.75,1,250000
3,1.5,1,405500
6,2.25,2,452000
6,2.25,2,730000
3,2,1,267000
3,2.5,2,289950
2,1,1,565000
4,3.25,2,1.58E+06
3,2.5,2,636000
5,3,1,350000
3,1.5,1,320000
2,1.75,1,210000
2,1,1,245000
3,1.75,1,328000
4,2.25,2,985000
3,1.75,1,501000
3,2.25,2,315000
3,2.75,2,403000
3,2,2,550000
4,2.5,2,347500
4,2.25,2,365000
3,1,1,588000
3,1.75,1,605000
3,3.25,2,1.30E+06
3,2,1,233000
4,2.5,2,360000
2,1.75,1,459000
3,2,1,740000
3,1,1,305000
3,1,1,395000
4,2.5,2,560000
4,1.75,1,650000
3,2.5,2,449950
3,1.5,1,517500
4,1.5,1,435000
3,1,1,329999
3,1.75,1,950000
3,1,1,447000
2,2.5,1,699800
3,1.75,1,850000
3,1.75,1,316500
5,3.5,1,942500
2,2.25,2,1.31E+06
4,2.25,1,856600
5,1.5,2.5,405600
4,2.5,2,565000
3,2.25,2,400000
3,2,1,330000
4,2.75,2,374950
3,2.75,1,405300
3,2.25,2,560000
4,2.25,1,824000
3,1.75,1,260000
4,2.5,1,760000
3,2.5,2,405000
4,2.5,2,429900
3,1.5,1,341500
5,2,1.5,465250
2,2,1.5,450000
3,1,1,390000
3,2.25,1,420000
3,2.5,2,269950
4,2,1,493000
4,2.5,2,370000
5,4.25,1.5,2.25E+06
3,1,1,305000
3,1.75,1.5,400000
3,1.5,2,320000
4,1,2,715000
6,2.75,1.5,650000
5,1.75,1,218000
2,1,1,500000
4,2,1,460000
3,1.5,1,232500
3,2.5,2,408200
3,1.75,1,522000
4,2.5,2,675000
4,3.5,1,1.36E+06
4,1,1.5,249950
2,1,1,210000
4,1,1,429950
4,2.5,2,737500
4,2,1,710000
3,2.5,2,470000
4,3.5,1,1.10E+06
3,2,1.5,650000
4,2.5,1,1.22E+06
3,2.5,2,422120
5,2.5,2,625000
4,1,1.5,385200
3,2.25,2,500000
4,2.25,2,308000
3,2.75,1,565000
3,2.5,2,581000
3,2,1,361000
3,1,1,345000
2,2.25,2,419000
3,2.5,2,347000
4,2.25,2,625000
4,4.25,2,2.40E+06
3,3.25,2.5,379000
3,1.5,2,310000
2,2,1,250000
5,2.75,2,682000
3,2,1,246500
3,1,1.5,325000
4,2.5,2,310950
3,2,2,1.10E+06
3,1,1,287500
3,1,1,431000
3,1,1,226000
3,1.75,1.5,825000
4,1,1.5,175000
3,1.5,1,465750
4,2.25,2,659000
3,1.75,1,595000
3,2.25,2,350000
4,2.25,1,270000
6,2.25,1,662500
3,1.75,1,249900
3,1.75,1,324500
2,1.75,1,430000
2,1.75,1,419950
4,1.75,1,285000
4,2.5,2,332000
4,1.75,1,282000
3,1,1,320000
3,1,1.5,428750
3,2.25,2,330000
4,3.5,3,456500
3,2.25,1,352000
4,2,1.5,664000
3,1.75,1,628000
3,1.75,1,512000
3,2,1,254000
4,2.5,2,535800
3,1,1,287653
3,2.5,2,438000
4,1.75,1,450000
5,2.75,2,327000
4,2.5,2,370500
3,2.5,2,265000
4,2.75,1,450000
3,1,1.5,425000
3,1.75,1,166600
1,0.75,1,245000
3,1,1,565000
3,1.75,1,539900
3,3.5,2,910000
4,2.5,2,280000
3,2.25,2,275000
3,2.5,2,467000
3,2.5,2,457500
2,1,1,381156
5,2.5,1,289999
3,1.75,1,642450
3,2.25,1,469950
3,2,1,795000
4,2.5,2,785000
3,2.25,2,860000
0,0,3.5,1.10E+06
3,1,1,147500
3,2,1,390000
3,1,1,229000
3,1,1,185000
3,1.5,1,414900
4,2,1,200000
4,2.25,1,225000
3,1.75,2,720000
4,2.5,2,930000
5,2.5,1,1.27E+06
5,3.25,2,700000
2,1.5,3,466000
3,1.5,1,374000
3,2.5,2,480000
3,2.5,2,740000
4,1,1.5,1.01E+06
4,2.5,2,395000
2,1,1,340000
3,2,2,209000
5,2.5,1.5,431650
5,2.5,1,980000
3,2.5,2,660000
4,2.25,2,730000
3,1.75,1,291500
4,3.5,2,905000
4,2.5,1.5,800000
4,3.5,1,839900
1,1.5,2,200000
3,2,1,300000
3,1.75,1.5,530000
3,2.25,2,314950
3,1.75,1,255000
5,2.75,1,550000
3,1,1,435000
3,1.75,1,234000
4,2.25,1,615000
3,2,1,205000
4,1.75,1,384000
3,2.5,2,324000
3,1.75,1,645000
3,3.25,2,570000
3,2.5,2,324000
2,1,1,270000
5,1.5,1.5,290000
3,2,1,250000
3,1.75,2,342000
3,1.5,1,255000
3,2.25,1,800000
3,1.75,1.5,451000
4,2.5,1,990000
4,2.5,1,288400
3,1.5,2,420000
2,2.75,2,359000
4,3,1,390000
3,2.5,2,300000
5,2.5,1,545000
3,1,1,288349
3,2.25,1,299900
4,2,1.5,891000
3,2,1,1.20E+06
4,2.5,2,378000
2,1,1,299995
3,2.5,1,253000
3,2.25,1,350000
4,3,1.5,565000
2,1,1,315000
4,3,1.5,570000
5,3.5,2,971000
5,2.5,1.5,915000
4,1.5,1,419000
4,1.75,1,260000
3,3,2,1.32E+06
3,1,1,369950
3,2.5,2,1.03E+06
5,1,1.5,435000
3,1.75,1,601000
3,1,1,460500
3,2.5,3,720000
4,2.5,2,851000
4,3,2,550000
4,1,1.5,700000
3,1.75,1,323000
3,1,1,345500
4,1.5,1,378000
4,2,3,650000
3,2,1,385000
2,1,1,425000
4,2,1.5,210000
4,2.5,2,630000
3,1.75,1,335000
3,1,1,196500
4,2.75,1,582800
3,1.75,1,440000
4,2.25,2,752500
3,1.75,2,532500
3,1,1,265000
3,1.25,1,397500
3,2.5,2,524250
4,2.75,2,765000
4,2.5,2,648000
5,2.5,1,469500
3,1.75,1,237500
3,1,1,216000
3,1,1,427200
3,2.25,1,280000
5,3,1,718000
2,2.75,2,420000
2,1,1,379000
2,1,1,326100
3,2.5,3,535000
4,2.75,1,283000
3,1,1.5,260000
4,1,1.5,399000
3,2.25,2,484950
4,1.75,1,640000
4,2.5,1,585000
4,2,1,645000
3,2,1,253000
2,1,1,178500
4,2.5,2,291000
2,2.75,1.5,199950
2,1,1,553500
2,1,1,189950
3,2,1,289000
4,2,2,700000
3,2,1,270000
4,1.75,1,258000
3,2.5,2,530000
3,2.25,2,245000
3,2,1.5,563000
3,2.5,2,515000
4,2.5,2,325000
3,2.25,2,540000
2,1,1,280300
4,1.75,1.5,460000
3,1.75,1,475000
4,2.25,1,900000
4,3,1,538200
2,1,1,429000
3,1,1,164808
4,2.25,2,520000
3,1.75,1,475000
4,1.5,1,283000
4,2.5,2,321500
4,2.75,2,840000
3,2.25,2,287000
3,1.75,1,375000
3,1.75,1,349500
3,1.5,1,446450
4,2.5,2,315000
2,1,1.5,271310
4,1,1.5,315000
3,1.75,1,245000
2,1,1,543115
4,2,1.5,900000
4,4.25,2,2.45E+06
2,2,1,554000
3,1.75,1,249900
3,2.5,2,768000
4,3,1,980000
5,2.5,1,395000
3,1.75,2,415000
4,2.5,2,380000
3,2.5,2,566000
2,1,1,218500
4,2.5,1,550000
3,1.75,1,512031
2,1,1,197500
3,2.25,1,470000
3,1.75,1,590000
4,2.25,1,465000
2,1.75,1,499000
3,2.25,1,515000
3,1.75,1,716500
3,2,1,410000
4,3.25,2,850000
4,3.25,2,1.05E+06
4,2.5,2,648000
4,2.25,1.5,620000
4,4.5,2,935000
3,1,1,379000
3,1.75,1,699000
4,2.25,1,528000
3,1.75,1,425000
2,1.75,1,249500
5,3.25,2,1.04E+06
4,2.75,1,790000
3,1,1,399950
3,1.5,1,275000
3,1,1.5,550000
1,1,1,140000
3,1,1,250000
3,2.25,2,318000
2,1,1,505000
5,2.5,1,470500
3,1,1.5,360000
4,2.75,1,1.24E+06
3,2.5,1,986000
2,1,1,515000
3,1.75,1,320000
4,3,1,310000
2,1,1,356700
4,1.75,1,775000
3,1,1,325000
4,2.75,1.5,208000
2,1,1,825000
3,2.5,1,515000
3,1.5,1.5,490000
4,3,1,675000
4,2.5,1,360000
4,2.5,1,550000
3,1.5,1,225000
3,2.75,1.5,500000
4,2,1,385000
5,2.75,2,837700
3,2.25,2,448000
5,1.75,1,730000
4,1.5,1,575000
3,1.75,1,430000
3,2.5,2,435000
3,1,1,241000
2,1.75,1,453500
2,1.5,3,285000
2,1,1,151000
5,4.5,2,1.57E+06
5,2,2,631000
2,2.5,2,285000
3,1,1,195000
4,2.5,2,817500
3,2,1,550000
4,2.5,2,1.13E+06
2,2.75,3,609850
3,1,1,200000
4,2.5,2,367000
3,2.25,2,285167
2,1.5,1,275000
4,2.5,2,350900
4,3.25,2,660000
3,1.75,1,525000
4,2.5,2,262000
2,1,1,690000
5,3.75,2,624000
3,1,1,353000
4,3.5,2,552500
4,1,1.5,224500
3,1,1,239000
5,4.5,2,975000
4,1.75,2,1.20E+06
3,1,1.5,505000
4,1.75,1,302000
3,1,1,170000
2,1,1,195000
5,1.5,1,272000
5,1.5,1,369000
3,1.5,1,332500
3,2.5,1,515000
3,1,1,269000
4,4,1,1.28E+06
3,2.5,2,303000
7,3,1,420000
3,1,1,400000
3,1,1,225000
2,2,2,219000
3,2.5,2,605000
4,2,1,625000
5,2,1,380000
4,2,1.5,620000
4,2.75,2,687500
4,2,1,225500
3,2,1,252500
3,2.5,2,510000
4,2.5,2,510000
3,2.5,1.5,725000
1,0,1,75000
2,1,1,492000
4,2.5,1,425000
4,2.75,1,1.96E+06
3,2.5,2,298900
4,2.5,2,699000
2,1,1,310000
3,1.75,1,350000
4,1.75,1,790000
4,2.5,2,305000
3,2.5,2,315000
5,3.5,2,267500
4,3.25,2,1.75E+06
6,3.5,2,435000
6,4.5,1.5,482500
5,5.25,2,5.11E+06
3,1.75,1,439995
3,3,1,460000
3,1,1,194000
2,0.75,1,290000
4,2,1,274700
4,2.5,2,900000
4,4,2,1.15E+06
3,2.5,2,605000
3,2.5,2,359000
3,1.75,1,850000
3,2,2,505000
3,2.5,2,565000
2,1.75,1,585000
4,3.25,2,328000
4,2.75,1,749950
4,2.5,2,826000
3,1,1,535000
4,2.5,2,925000
3,3.5,2,875000
4,2.25,1,902000
3,1,1,423000
3,1,1,235000
2,2,1,545000
2,1,1,343000
3,2.5,2,334950
3,1.75,1,405000
4,1,1,220000
2,1,1,173000
3,1,1.5,655000
2,1,1,406000
6,2.5,1,632000
5,2.75,1,357000
3,1.75,1,361000
2,1,1,277000
4,3.75,1,630000
3,2.5,2,254000
3,2.25,1,472800
3,1.75,1,263000
3,1.75,1,510000
3,1,1,179950
4,2.25,1,525000
3,2.5,3,479000
3,2,1,651000
4,1.75,1,949000
5,2.5,1.5,392400
4,1.75,1,585000
4,2.5,2,460000
3,1,1,470000
3,2.5,2,245000
4,2,2,500000
3,2.5,2,455000
4,2.5,2,485500
5,3.25,2,1.88E+06
2,1,1,100000
3,1.75,1,307000
4,3.5,2,475000
4,2.5,1,330000
3,1,1,130000
3,2.5,2,320000
4,2.5,2,735000
4,2.5,1,365000
3,1.5,1,234000
4,2,1.5,211000
6,3.5,2,680000
4,3,2,457000
3,2.25,2,349000
3,2.75,1,360000
4,2.5,2,350000
3,1,1,208000
2,1,1,250275
2,1,1,435000
3,1.75,1,270000
3,1.75,1,438000
4,2,2,659000
4,2.75,1,645000
4,2.5,2,685100
7,3,1,350000
2,1,1,375000
3,1.5,1,170000
4,2.5,3,880000
4,2.5,2,410500
4,2.5,2,780000
5,4.5,2.5,1.23E+06
2,1.75,1,449000
3,1.75,1,546000
3,2,1,317000
3,1,1,276900
5,2,1,399000
5,2.75,1,495000
3,1.75,1,258000
2,2.5,1,600000
3,2.75,3,265000
5,2.75,1,321000
5,2.25,1.5,682000
4,2.5,2,295700
4,2.5,2,609000
3,4.5,2,995000
3,2.25,2,530000
5,2.5,2,614000
3,2.5,1,390000
3,2.5,2,467000
6,2.5,1,484000
3,2.5,3,340000
3,2.5,2,302495
3,1.75,1,532500
3,2.5,2,441500
4,2.5,1,470000
4,3.25,2,2.30E+06
3,2.5,1,590000
3,1.75,1,320000
2,2,2,363000
4,2.25,2,747500
2,2.5,2,750000
4,3,2,831000
3,2.5,2,403000
3,2.5,2,445000
3,1,1,345000
3,3.5,1,2.26E+06
3,2,1,371025
2,1,1,355000
3,1,1,270000
4,2.75,2,425000
3,1.75,1,364808
3,2.25,1,320000
4,2.5,2,325000
3,2.25,2,350000
3,1.5,1,170000
2,1,1,255000
3,1,1,550000
4,4.25,2,835000
